Time, Role, Name
6:45 PM,Seargent at Arms,
6:47 PM,Toastmaster,
6:49 PM,Timer,
6:51 PM,Grammarian,
6:53 PM,Filler Word Counter,
6:55 PM,Quizmaster,
6:57 PM,Speaker 1,
7:04 PM,Speaker 2,
7:13 PM,Education Session,
7:22 PM,Evaluator 1,
7:25 PM,Evaluator 2,
7:28 PM,Evaluator 3,
7:45 PM,Table Topics Master,
8:05 PM,Table Topics Evaluator 1,
8:10 PM,Table Topics Evaluator 2,
8:15 PM,Timer,
8:17 PM,Grammarian,
8:19 PM,Filler Word Counter,
8:21 PM,Quizmaster,
8:29 PM,Comments and Closing Remarks,
8:30 PM,Toastmaster,
